id,name,type,ownership_percentage,address,birthdate,nationality
1,Christine Mcdonald,Person,48.11,"408 Kelley Heights Apt. 692
West Jefferystad, NE 65956",1962-04-02,Saint Kitts and Nevis
2,Christina Hammond,Company,13.98,"USS Fisher
FPO AP 31612",,
3,Jerry Harris,Company,25.89,"128 Ferrell Hollow Apt. 359
New Tylerland, NC 09856",,
4,Paula Harris,Company,50.49,"Unit 0377 Box 3120
DPO AA 47428",,
5,Benjamin Robinson,Company,92.05,"7502 Casey Stream
Lake Jose, AK 63859",,
6,Dr. Cody Coleman,Company,8.39,"99055 Matthews View
West James, MP 52363",,
7,Suzanne Davidson,Person,74.99,"86654 Martinez Turnpike
New Randall, CA 30311",2003-03-03,Bouvet Island (Bouvetoya)
8,Elizabeth Brooks,Person,15.19,"242 Christopher Rapid Apt. 655
Jamesmouth, AR 30480",2006-07-28,Cayman Islands
9,Lisa Morse,Person,37.84,"68215 Karen Rapids
Heatherfort, GU 14636",1938-11-04,Namibia
10,Taylor Vargas,Person,10.14,"765 Hernandez Park
Andersonberg, AR 27855",1974-08-25,American Samoa
11,Jacqueline Horne,Company,19.08,"5508 Kevin Curve Suite 516
Christopherberg, ME 28461",,
12,Richard White,Company,17.57,"8060 Davis Parks Apt. 023
Dannyfurt, FL 50698",,
13,Brandi Strickland,Person,17.62,"84964 James Mills
East Carol, IN 25256",2006-05-28,Georgia
14,Carl Brown,Person,22.55,"42089 Patricia Centers Apt. 994
West Ericashire, MI 71267",1998-07-04,Belgium
15,Nathan Evans,Company,40.62,"27303 Judith Lane Apt. 902
Leachmouth, AL 76509",,
16,Erin Gonzalez,Person,51.89,"342 Roberts Ridge Suite 165
Port Stephanie, OR 30036",1966-10-22,Barbados
17,Molly Mann,Company,1.67,"2352 Clark Common
Nancyport, CO 45850",,
18,Michael Taylor,Company,47.27,"78595 Anderson Plains Apt. 249
Lake Wendy, NV 07737",,
19,Teresa Lee,Person,31.62,"7265 Brianna Pine
North Danielle, KS 05433",1956-05-20,Kazakhstan
20,Debra Sanders,Person,55.62,"09451 Carpenter Fort Suite 219
East Sarahmouth, CA 81618",1979-03-24,Hong Kong
21,Matthew Wilson,Company,29.1,"41486 Fox Cliffs
North Kelly, ID 93814",,
22,Keith Freeman,Company,14.72,"7451 Taylor Drive Suite 903
Lake Jessica, WI 85337",,
23,Carrie Moore,Person,4.6,"14196 Nathaniel Crossing
Johnstad, MO 48315",1988-02-27,Gabon
24,Karla Armstrong,Person,40.22,"3780 Mary Keys Suite 659
Port Abigail, MS 62599",1983-08-21,Czech Republic
25,Brandon Chapman,Person,28.33,"38798 Daniel Alley Suite 655
Port Jessica, FM 55180",1986-04-01,Botswana
26,Timothy Potter,Company,99.1,"293 Roman Stravenue Suite 045
Kimberlyport, HI 92228",,
27,Anna King,Company,28.42,"163 Deborah Glens Apt. 709
North Amberstad, MT 15110",,
28,Ashley Johnson,Company,98.72,"30252 Aaron Turnpike Suite 101
Mitchellfurt, ND 72330",,
29,Briana Mejia,Person,9.12,"USNS Lynch
FPO AP 54128",1947-12-11,Vietnam
30,Patricia Mendez,Person,62.91,"0965 Rodgers Avenue
Port George, IN 59701",1972-07-28,Latvia
31,Oscar Kelly,Person,90.18,"863 Jessica Rue Apt. 706
Melissatown, NH 47639",1976-09-15,Gabon
32,April Deleon,Person,39.86,"219 Christina Mount
Lake Vanessa, GA 26543",1955-10-06,Guyana
33,Alan Terrell,Company,1.64,"11598 Clark Cliff
South Thomas, DE 24395",,
34,Elizabeth Sharp,Person,79.77,"7005 Thomas Wall Suite 030
Jaybury, PA 13651",2003-11-02,Philippines
35,Gloria Haynes,Person,10.14,"21626 Gonzalez Meadow Suite 946
Bakerville, NE 65719",1953-10-21,Korea
36,Ashley Solomon,Company,94.83,"9880 Danielle Causeway Suite 895
Lake Brandon, MA 01679",,
37,Steve Baker,Company,96.07,"54713 Black Terrace Apt. 227
New Monicaberg, IA 07191",,
38,Richard Proctor,Person,55.05,"501 Ashley Spur Suite 025
Juliamouth, IL 09038",2000-02-02,Marshall Islands
39,Phyllis James,Company,24.34,"382 Clinton Valleys Apt. 530
Lindsaymouth, VA 17622",,
40,Richard Salinas,Person,90.99,"1338 Bridget Ville
Lindsayberg, NM 15288",1934-03-10,Equatorial Guinea
41,Stefanie Smith,Company,59.08,"6113 Sean Falls Apt. 804
East Eileen, UT 99098",,
42,Amy Richardson,Person,8.82,"6769 Cummings Islands
Reneeport, DE 11886",1938-02-05,Iceland
43,Jennifer Armstrong,Company,98.97,"760 Maria Row Apt. 906
South Ericfort, VT 36857",,
44,Nicole Thomas,Person,42.09,"5991 Matthew Skyway Apt. 463
Hillstad, LA 83069",1950-08-18,Madagascar
45,Benjamin Smith,Company,64.16,"538 Joshua Islands
Pagetown, AZ 46354",,
46,Penny Morales,Company,7.02,"204 Castillo Grove
North Deborah, MO 55999",,
47,Teresa King,Company,9.14,"39169 Brandy Summit Suite 543
New Brendamouth, PR 97319",,
48,Billy Phillips,Person,86.42,"7202 Nelson Parks Apt. 691
East Aaron, NC 18045",1987-11-14,Mexico
49,Anna Foster,Company,23.89,"PSC 0901, Box 8118
APO AA 40385",,
50,Andrew Rodriguez,Company,12.96,"93668 Gonzalez Extensions Suite 087
Smithfurt, AZ 49514",,
51,Melvin Estes,Person,88.95,"588 Hamilton Roads Suite 680
Robinfort, HI 02577",1991-08-06,Uzbekistan
52,Caitlin Peters,Company,61.13,"5163 Green Pine
North Reginabury, WI 74979",,
53,Kevin Coleman,Person,82.42,"9812 Maldonado Rest
West Mathew, IA 66665",1979-11-17,Andorra
54,April Butler,Company,97.53,"8543 Ashley Mountains
Derekmouth, MI 40191",,
55,Rebecca Powers MD,Person,31.88,"273 Willie Circle Suite 629
Moorechester, VA 46681",1981-05-28,Latvia
56,Cody Stokes,Company,37.27,"USS Mccormick
FPO AE 81212",,
57,Tara Lowery,Company,90.9,"84516 Donald Cliff Apt. 459
Mccoystad, CO 18091",,
58,Shannon Martin,Person,99.22,"392 Rivers Oval
Stanleystad, NC 91804",1990-05-27,Estonia
59,Hailey Turner,Company,80.54,"2860 Shannon Haven
Jacquelinechester, ND 70214",,
60,Kimberly Goodman,Company,40.27,"15730 Meghan Roads
Lake Charlesland, GU 31945",,
61,Emily Gordon,Company,46.66,"1373 Baker Fords
East Mark, NJ 99490",,
62,Heather Owen,Company,16.02,"2889 Sara Squares Suite 333
Kiarafurt, NV 83121",,
63,Richard Davis,Person,65.53,"8724 Paul Land
West Danielle, FM 57074",1995-03-20,Eritrea
64,Jessica Benson,Company,82.76,"752 Johnathan Center
East Craighaven, VI 21176",,
65,Amy Lewis,Company,77.41,"01143 Andersen Orchard
East Sherry, FL 05595",,
