id,name,address,birthdate,nationality,ownership_percentage,type
1,Patricia Thomas,"678 Hailey Turnpike
Johnsonshire, MI 55268",1983-05-09,Chile,2.89,Company
2,Teresa Clark,"79533 Williams Crescent
Lake Stephanie, NY 20324",1989-10-21,Egypt,46.72,Person
3,Melanie Morgan,"0848 Mcdaniel Ridges
East Christina, SD 92274",1988-05-22,Pitcairn Islands,84.05,Person
4,Robin Thompson,"68876 Nicole Ranch
Amyfurt, IA 80678",1965-07-29,Maldives,3.93,Company
5,Brian Bush,"PSC 1627, Box 6049
APO AE 19820",1999-02-04,Kazakhstan,48.63,Company
6,Maurice Jackson,"84040 Walker Hills
East Calvinport, TN 69355",2002-07-10,Turks and Caicos Islands,6.97,Person
7,Lynn Hodge,"894 Greene Pines Suite 567
Davisshire, AK 07680",1959-08-18,Congo,1.72,Person
8,Glenn Riley,"892 Ashley Square Apt. 134
North Teresa, MD 83334",1939-05-18,Eritrea,62.99,Company
9,Judy Glover,"82515 Michelle Bypass
Newtonview, MN 95483",2014-07-23,Mayotte,67.49,Person
10,Linda Mckinney,"2129 Davis Stravenue
Mooreburgh, SC 87554",2018-04-15,Honduras,15.34,Person
11,Heather Wilson,"PSC 8000, Box 0215
APO AE 74503",1953-06-26,Mexico,37.84,Person
12,Tiffany Fuentes,"3624 Kyle Summit
Lisaton, WI 22655",1914-03-05,Belgium,56.26,Person
13,Julie Martin,"172 Williams Isle
Martintown, OH 81790",1949-01-02,Greece,90.86,Company
14,Jeanette Guerrero,"321 Rebecca Lock
North Gregory, SC 24438",1923-07-05,Tunisia,51.53,Person
15,Kevin Fox,"USCGC Scott
FPO AE 46397",2009-08-14,Germany,85.83,Company
16,Juan Lopez,"1768 Galloway Vista Suite 428
East Brandon, KS 25486",1941-12-25,Saudi Arabia,56.69,Company
17,Lori Morrow,"966 Carla Burgs Suite 288
Lake Andrew, ME 80013",1934-02-03,Gibraltar,29.58,Person
18,Jack Frederick,"531 Jones Drive Apt. 326
Ronaldport, DE 41285",1941-12-25,Puerto Rico,19.74,Person
19,Mary Garcia,"148 Gina Mountain
Lake Adriana, AL 25356",1968-01-07,American Samoa,30.28,Company
20,Peter Jones,"16381 Castaneda Stream Suite 928
Johnsonside, KY 38420",1932-11-04,Guyana,96.63,Company
21,Justin Gonzalez,"82587 Rose Parkways Suite 986
Patriciamouth, NE 60607",1957-05-17,Vietnam,57.15,Company
22,Laura Sanchez,"25175 Tyler Motorway Apt. 324
Lopezland, AK 62860",2003-08-16,Saint Vincent and the Grenadines,6.62,Company
23,Debbie Robinson,"2488 Lisa Dam Apt. 130
Aimeetown, MP 38709",1995-11-26,Saint Vincent and the Grenadines,35.99,Company
24,Antonio Garner,"Unit 5648 Box 8991
DPO AE 70643",2009-03-29,Anguilla,50.24,Person
25,Michael Torres,"8756 Manning Pike Suite 201
East Wayneton, SD 00726",1964-07-29,Saint Lucia,57.79,Company
26,Christopher Garcia,"74879 Warren Rapid
Reyesborough, MN 54830",1971-11-18,Ethiopia,43.32,Person
27,Chad Smith,"93769 Jeffrey Forges
Jessicafurt, WI 06178",2015-09-15,Belgium,7.73,Person
28,Elizabeth Hawkins,"97023 Allison Fields
Danielsmouth, OR 41633",1969-03-19,Albania,99.23,Person
29,Matthew Martinez,"7644 Stephanie Forks Suite 808
East James, OH 54732",2015-02-28,Brazil,43.73,Company
30,Kevin Armstrong,"22684 Andrew Tunnel Suite 159
Port Travisfort, ID 28285",1981-02-27,Cape Verde,18.04,Company
31,Steven Velazquez,"3766 Wise Coves Suite 482
South Stevenborough, PR 38300",1917-04-03,Dominica,32.0,Company
32,Steven Jones,"3205 Williams Hills Apt. 484
Melissaland, GU 81623",1928-11-29,Andorra,21.69,Company
33,Michael Lopez,"08214 Jones Cape
Port Sabrinatown, AS 65577",1968-07-11,Austria,12.56,Person
34,Danielle Miller,"2262 Vega Meadows Suite 108
East Timothyside, DC 50784",1929-07-19,French Guiana,76.3,Person
35,Jacqueline Smith,"509 Foster Freeway Suite 659
Gloriashire, NJ 52071",2023-07-28,Burundi,63.45,Person
36,Daniel Ross,"3003 Sanchez Greens Suite 382
South James, HI 82747",1918-09-28,Botswana,12.16,Company
37,Thomas Stewart,"78012 Rowland Skyway Apt. 066
Andersonchester, OH 55716",1980-06-14,Suriname,66.63,Company
38,Stephanie Hicks,"5943 Sharon Avenue Suite 569
South Davidbury, GU 48055",1990-11-24,Latvia,26.62,Company
39,Angie Knight,"79256 Rice Squares
Timothyfort, IN 22752",1990-07-29,Ukraine,52.93,Person
40,Scott Raymond,"191 Dawn Forges Suite 318
New Colleen, MS 33850",1938-07-06,Solomon Islands,59.1,Person
41,Christopher Turner,"3888 Joseph River Suite 638
Lake Derrickmouth, MI 86580",1975-09-20,Moldova,73.71,Company
42,Tammy Brown,"1913 Robinson Fields Apt. 693
Haleyberg, SC 45230",1991-05-04,Mauritius,43.3,Company
43,Antonio Acosta,"014 Knight Meadows
South Larryburgh, PA 48070",1999-08-12,Cape Verde,68.11,Person
44,Spencer Beck,"4173 Eric Dale Suite 334
Charleneside, PA 06480",1972-11-13,Brunei Darussalam,83.95,Company
45,April Russo,"3024 Olivia Rapids Apt. 616
West Jackiechester, PA 15894",1974-08-16,Namibia,70.02,Person
46,Mary Andrade,"39094 Moon Ferry Apt. 930
New Derek, KS 22179",1945-03-27,Gabon,32.95,Company
47,Crystal Nelson,"2211 Mills Brooks
Lake Davidhaven, LA 75397",2010-09-17,Tajikistan,65.85,Company
48,Anthony Martin,"2094 Evans Extension
North Lauren, KY 08825",1992-05-12,Saudi Arabia,75.78,Company
49,Debra Alvarado,"9391 Kathleen Curve Apt. 469
Thomasborough, NY 46862",1944-12-24,Honduras,92.2,Person
50,David Wilson,"612 Gray Fork Suite 633
Port Elizabeth, DE 28934",1971-05-20,Pitcairn Islands,4.42,Company
51,Mark Miller,"442 Johnson Ports Apt. 507
Kimmouth, MI 35018",1995-03-19,Suriname,4.83,Person
52,Robert Bean,"5133 Ronnie Road
Rodriguezfurt, IA 34087",2014-11-24,Peru,27.01,Company
53,Matthew Sullivan,"9995 Buckley Circles
South Toddbury, NJ 17977",2000-08-19,Liberia,2.46,Company
54,Robert Howard,"0044 Delacruz Meadows
Murraybury, HI 73544",1922-10-01,Georgia,15.59,Person
55,Tina Larsen,"PSC 5076, Box 4856
APO AA 89968",1968-07-14,Turkey,75.0,Company
56,Sara Hansen,"445 Butler Crossroad Apt. 110
West Michaelfort, MD 12516",1996-05-27,Slovenia,15.85,Company
57,Samantha Horn,"1032 Moore Field Suite 882
Scottshire, IN 32178",1936-09-24,Northern Mariana Islands,58.32,Person
58,Kim Gonzalez,"00286 Elizabeth Mountains
Port Carla, CO 60613",2023-03-12,Norway,24.18,Person
59,Colleen Adams,"98366 Mann Prairie
Mirandatown, MD 61064",1974-07-05,Mayotte,5.09,Company
60,Edward Owens,"USCGC Jensen
FPO AP 01357",2011-12-13,Aruba,28.93,Person
61,Larry Hill,"4736 Richards Underpass Suite 004
North Robin, AR 18100",2006-01-04,Brazil,53.03,Company
62,Lauren Williams,"233 Sally Isle
Bradleyshire, AL 73615",1986-05-13,Niger,2.72,Person
63,Thomas Martin,"8824 Colleen Fords Suite 393
Wallacefort, KS 17243",1929-01-30,Antarctica (the territory South of 60 deg S),68.99,Company
64,Dana Jensen,"772 Nicole Squares Suite 482
Gardnertown, MI 07874",1934-04-25,Timor-Leste,59.82,Person
65,Casey Baker,"24175 Reese Course Suite 951
Bellport, CO 23760",1949-10-08,Iraq,46.11,Person
66,Allison Maldonado,"75759 Timothy Pine
Juliebury, ND 23595",1959-04-15,Ghana,61.32,Person
67,Stephanie Wolf,"113 Robert Rue
Richardchester, TX 75606",1921-01-16,United States of America,6.58,Person
68,Thomas Bush,"9866 Taylor Fork
Tannerbury, ID 99330",2021-04-29,Guinea,55.59,Person
69,Amy Riddle,"387 Calhoun Pass
Wernershire, AL 16436",1943-12-07,British Indian Ocean Territory (Chagos Archipelago),56.15,Company
70,William Taylor,"084 Moore Lodge Apt. 440
Kayleefurt, SC 93539",1988-08-13,British Virgin Islands,28.63,Person
71,Cynthia Lee,"Unit 1954 Box 7350
DPO AE 83924",1976-01-28,Guadeloupe,27.44,Company
72,Margaret Hubbard,"34580 Amanda Camp
Anthonymouth, OK 69071",1964-04-14,Aruba,94.17,Company
73,James Lopez,"USNS Wong
FPO AP 31460",1986-05-06,Guam,30.78,Person
74,Jesus Rios,"784 Jackson Parkway Suite 349
Olsonville, CO 69263",1953-11-27,Bermuda,69.67,Company
75,Michelle Washington,"5840 Ellis Ports Suite 925
Michaelmouth, VA 75742",2000-02-16,Turkmenistan,9.27,Company
76,Laurie Young,"9108 Alexandra Mews
Lake Andrewview, HI 32989",1977-10-30,Algeria,89.44,Company
77,Dennis Wu,"921 Hill Point
South Annahaven, AK 12424",1962-01-07,Macao,30.98,Company
78,Steve Calderon,"04925 Matthew Isle
New Sheilaville, ND 92059",1936-10-16,Italy,61.66,Person
79,Kayla Stevens,"8460 Medina Ranch Apt. 218
Theodorefort, MA 59220",1938-03-27,Libyan Arab Jamahiriya,41.63,Company
80,Sean Mullen,"0609 Jack River
Williamsview, NE 49384",1963-05-05,Panama,11.24,Company
81,Christina Larson,"257 Daniel Roads Apt. 997
Williamside, CT 16601",1952-06-01,Northern Mariana Islands,18.43,Person
82,Christopher Harrison,"8254 Jason River
Richardview, CT 68389",2012-02-29,Croatia,16.28,Person
83,Carrie Delacruz,"063 Harrington Key
Williamsberg, WI 02118",1915-01-04,Germany,52.57,Company
84,Troy Boyle,"8460 Coleman Ferry
North Hunter, OH 08379",1922-12-17,Cambodia,51.67,Person
85,Louis Fuentes,"596 Megan Crossroad
Harrisside, MH 83493",1912-11-19,Cyprus,47.45,Person
86,Melissa Bernard,"161 Smith Vista Suite 209
North Juan, RI 97851",1992-03-17,Kuwait,63.19,Company
87,Betty Anderson,"2080 Mark Haven
Taylorfurt, WA 07145",1957-08-20,Malawi,93.54,Company
88,Ann Thompson,"498 Jillian Square Apt. 708
East Zachary, NJ 13154",1961-12-02,Hong Kong,56.29,Person
89,Ian Aguilar,"30638 Christy Terrace
West Benjaminton, AK 86987",1989-08-30,Sweden,97.54,Person
90,Angela Dunn,"03530 Kristy Walks
Port Jennifer, PW 39223",1953-01-26,Poland,55.79,Person
91,Patrick Pace,"9657 Jessica Ridges Apt. 915
New Matthewhaven, MS 88655",1939-08-12,Malawi,41.8,Person
92,Jorge Keller,"358 Pruitt Shoals Suite 690
New Nicolemouth, GA 23679",1977-08-31,Philippines,10.19,Company
93,Jeremy Martin,"32076 Jesus Lane Apt. 585
Maryport, ID 16090",1926-02-22,Papua New Guinea,26.41,Person
94,Luis Williams,"585 Andersen Heights
Hollyberg, NM 70051",1983-01-21,India,88.48,Person
95,Tyler King,"94483 Elizabeth Ford Apt. 015
East Mark, PR 31776",2011-08-29,India,81.02,Person
96,James Barnett,"27713 Jacob Drive Apt. 494
North Nataliefort, WI 45175",2016-01-15,Austria,4.13,Company
97,Dennis Thompson,"37542 Michael Locks Suite 055
North Jessicabury, PW 09710",1973-03-30,Eritrea,25.94,Person
98,Stephanie Lang,"780 Marsh Estate
South Emily, WI 03838",1987-03-06,Finland,42.77,Company
99,Janet Garcia,"0215 Ruben Greens
Port Sharonchester, IA 75370",1935-08-21,Saint Barthelemy,51.78,Person
100,Doris Brady,"66054 Bass Walks Suite 611
Velazquezport, DE 88787",2008-12-22,Tanzania,19.79,Company
101,Roberto Dunn,"PSC 5143, Box 2195
APO AE 80212",2007-01-29,Djibouti,23.71,Person
102,Paul Ramsey,"830 Morales Summit Apt. 186
North Staceyfort, AR 22490",1972-06-16,Jamaica,60.18,Person
103,Veronica Rose,"962 Donald Fork
Perryfort, NY 43939",1971-10-10,Tonga,22.13,Company
104,Michelle Knapp,"561 Michael Squares Apt. 059
North Christopherfort, NE 50134",2001-02-11,Vanuatu,98.27,Person
105,Eric Alvarado,"775 John Shoal
Hernandezville, WI 74479",2024-07-19,French Guiana,89.28,Company
106,Bernard Ford,"PSC 8577, Box 1297
APO AP 79110",1916-10-15,Monaco,86.62,Company
107,Lisa Rios,"52895 Wilson Spur
Jennifertown, MN 94748",1934-06-06,Comoros,6.6,Person
108,Erica Mayo,"972 Gabriela Hill Suite 089
New Jesusshire, NH 86298",1996-02-21,Equatorial Guinea,20.24,Person
109,Erin Lane,"3805 Christopher Keys
Vaughnhaven, IA 10665",1999-01-08,French Guiana,13.52,Person
110,Michael Armstrong,"94914 Riddle Unions Apt. 881
Valdezhaven, FM 09656",1986-09-18,Ukraine,51.99,Company
111,Brittany Jones,"684 Christopher Locks Apt. 723
Langbury, UT 88595",1953-03-07,Vanuatu,55.0,Company
112,Matthew Wilson,"08237 Faulkner Meadows
West Susanview, VI 57131",2016-11-14,Montserrat,1.67,Person
113,Samuel Kelly,"PSC 4469, Box 0649
APO AE 20481",1933-03-01,Seychelles,37.15,Company
114,Hannah Sanchez,"7230 Robert Station Suite 334
Snowchester, MI 13284",1938-04-07,Mongolia,81.02,Person
115,Gary Baker,"515 Kaitlyn Turnpike
South Tammyland, OK 68689",1979-05-31,Congo,12.48,Person
116,Danielle Evans,"68475 Jamie Locks
West Erin, FM 61392",2017-09-16,Pitcairn Islands,76.13,Person
117,Megan Johnson MD,"3288 Velez Ramp Suite 635
Herrerabury, AL 80922",1950-04-12,United States Virgin Islands,78.91,Person
118,Holly Hinton,"294 Mcintosh Fort
Zimmermanhaven, PW 75358",1974-10-28,Argentina,53.49,Person
119,Jessica Stephenson,"PSC 1248, Box 7216
APO AA 81727",1990-11-12,Burkina Faso,19.27,Company
120,Richard Fischer,"85213 Stephanie Oval Apt. 115
Roseborough, MD 64268",1998-06-01,Estonia,35.19,Company
121,Jon Walker,"PSC 6185, Box 8138
APO AA 95653",1953-05-22,Bhutan,0.27,Person
122,Nathaniel Casey,"23846 Nicole Islands Apt. 115
Port Kenneth, CT 96500",1991-07-13,Albania,81.87,Company
123,Steven Nguyen,"8014 Matthews Extension Apt. 958
Robertview, MI 83523",1985-07-14,Guadeloupe,32.33,Company
124,Joseph Hamilton,"5440 Horton Oval
New Brenda, SD 16584",1926-05-11,Bahamas,89.23,Person
125,Richard Meyer,"641 Catherine Lake
Joannaberg, FM 08096",1976-01-09,Honduras,35.04,Person
126,Samuel Cross,"672 Anderson Land
West Lesliemouth, ND 79667",1993-08-07,Tunisia,23.72,Person
127,Melanie Evans,"5295 Chelsea Road Apt. 071
Lake Pamelastad, VA 79681",2004-08-17,Ghana,26.75,Person
128,Matthew Johnson,"838 Frederick Tunnel
Bassfurt, CT 69762",1982-08-24,Belgium,32.31,Person
